Month,bitcoin: (Worldwide)
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,2
2015-10,3
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,4
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,5
2017-01,6
2017-02,6
2017-03,7
2017-04,6
2017-05,15
2017-06,14
2017-07,13
2017-08,20
2017-09,21
2017-10,22
2017-11,44
2017-12,100
2018-01,56
2018-02,41
2018-03,23
2018-04,18
2018-05,14
2018-06,12
2018-07,12
2018-08,12
2018-09,12
2018-10,9
2018-11,14
2018-12,13
2019-01,9
2019-02,9
2019-03,9
2019-04,12
2019-05,16
2019-06,20
2019-07,18
2019-08,15
2019-09,12
2019-10,11
2019-11,11
2019-12,11
2020-01,12
2020-02,13
2020-03,19
2020-04,15
2020-05,20
2020-06,14
2020-07,14
2020-08,15
2020-09,13
2020-10,13
2020-11,24
2020-12,31
2021-01,67
2021-02,68
2021-03,46
2021-04,49
2021-05,65
2021-06,45
2021-07,30
2021-08,31
2021-09,29
2021-10,36
2021-11,33
2021-12,33
2022-01,41
2022-02,34
2022-03,29
2022-04,23
2022-05,35
2022-06,39
2022-07,29
2022-08,21
2022-09,21
2022-10,16
2022-11,25
2022-12,18
2023-01,20
2023-02,19
2023-03,23
2023-04,21
2023-05,18
2023-06,18
2023-07,18
2023-08,17
2023-09,15
2023-10,18
2023-11,20
2023-12,23
2024-01,28
2024-02,25
2024-03,41
2024-04,29
2024-05,21
2024-06,19
2024-07,21
2024-08,23
2024-09,18
2024-10,17
2024-11,46
2024-12,40